Region,iso,umd_tree_cover_gain__ha,umd_tree_cover_extent_2000__ha
Afghanistan,AFG,10741.02422,64385715.39
Akrotiri and Dhekelia,XAD,41.99967457,23448.38132
Albania,ALB,16472.16113,2873537.207
Algeria,DZA,89151.50011,230804377.3
Andorra,AND,120.0823991,45196.41073
Angola,AGO,1224126.467,124742297.5
Anguilla,AIA,69.88141168,8332.247766
Antigua and Barbuda,ATG,361.5560507,43575.65842
Argentina,ARG,1107734.576,278010122.1
Armenia,ARM,12255.93262,2969008.68
Aruba,ABW,19.23963739,18197.51126
Australia,AUS,1600600.188,768791340.1
Austria,AUT,36316.5272,8385801.906
Azerbaijan,AZE,30269.88232,8623532.539
Bahamas,BHS,6316.429728,1338763.005
Bahrain,BHR,62.25233474,71517.71355
Bangladesh,BGD,317861.6209,13938437.34
Barbados,BRB,376.6948984,43466.1461
Belarus,BLR,963615.6974,20706912.09
Belgium,BEL,41686.74402,3070744.164
Belize,BLZ,18602.43941,2198946.132
Benin,BEN,181408.3927,11542318.34
Bermuda,BMU,0,6808.118594
Bhutan,BTN,28220.58001,3876296.122
Bolivia,BOL,617222.4717,108339284.6
Bosnia and Herzegovina,BIH,53275.53915,5106883.294
Botswana,BWA,13303.41288,57788401.21
Brazil,BRA,8062335.575,850035649.7
British Virgin Islands,VGB,23.89673458,16932.0445
Brunei,BRN,7531.551074,577778.7739
Bulgaria,BGR,106350.8016,11158730.95
Burkina Faso,BFA,142766.3771,27341710.75
Burundi,BDI,16374.25462,2693531.442
Cambodia,KHM,147334.1613,18135960.79
Cameroon,CMR,351062.8136,46604005.89
Canada,CAN,16965178.68,983422993.9
Cape Verde,CPV,0,409097.9066
Cayman Islands,CYM,496.9333633,28039.82871
Central African Republic,CAF,482448.6378,62019959.34
Chad,TCD,256621.7779,126995174.5
Chile,CHL,731818.6204,75735291.61
China,CHN,6689626.496,938223515.7
Clipperton Island,XCL,0,1008.639098
Colombia,COL,1085199.375,113675874.9
Comoros,COM,81.77428284,167304.8283
Costa Rica,CRI,57877.19639,5117666.973
Croatia,HRV,59572.58595,5707840.169
Cuba,CUB,164350.8091,11073121.95
Cyprus,CYP,3222.19071,571955.8559
Czech Republic,CZE,77299.7542,7883558.886
Democratic Republic of the Congo,COD,1591178.539,232912780.8
Denmark,DNK,95181.26445,4314471.771
Djibouti,DJI,1.430199991,2186335.765
Dominica,DMA,79.94926556,75428.07801
Dominican Republic,DOM,54804.49516,4809195.188
East Timor,TLS,11133.8152,1491565.392
Ecuador,ECU,218567.5468,25611545.43
Egypt,EGY,4206.143172,98376439.43
El Salvador,SLV,14647.37596,2042272.859
Equatorial Guinea,GNQ,5166.85145,2695935.338
Eritrea,ERI,10676.05427,12045733.2
Estonia,EST,165131.0499,4548974.013
Ethiopia,ETH,403581.6384,112951807
Falkland Islands,FLK,0,1239764.463
Faroe Islands,FRO,0,143971.2983
Fiji,FJI,5409.641805,1808230.974
Finland,FIN,1357021.84,33693917.99
France,FRA,695647.7016,54951497.53
French Guiana,GUF,10102.61297,8330096.727
French Southern Territories,ATF,0,4361.769313
Gabon,GAB,50031.0707,26454969.88
Gambia,GMB,15326.74161,1067050.752
Georgia,GEO,93536.92707,6984457.387
Germany,DEU,342762.1299,35783855.99
Ghana,GHA,312123.8251,23832413.12
Gibraltar,GIB,0.561788916,721.2164659
Greece,GRC,71537.22157,13257505.41
Greenland,GRL,0,12409768.81
Grenada,GRD,85.03143325,35953.33668
Guadeloupe,GLP,1509.215407,165028.8018
Guatemala,GTM,291032.3219,10915098.49
Guernsey,GGY,78.85773424,8844.937559
Guinea,GIN,272657.0225,24481606.68
Guinea-Bissau,GNB,43268.84091,3388205.005
Guyana,GUY,30502.23773,20974416.14
Haiti,HTI,13832.43046,2710683.587
Honduras,HND,137965.2668,11228979.9
Hong Kong,HKG,676.0477813,112913.2158
Hungary,HUN,207300.8724,9305263.744
Iceland,ISL,0,10222425.83
India,IND,1881688.645,315279651.3
Indonesia,IDN,4882137.556,189024469
Iran,IRN,49762.47564,162173902.8
Iraq,IRQ,9456.8485,44535864.69
Ireland,IRL,284262.8932,7036644.646
Isle of Man,IMN,999.7870197,57966.50957
Israel,ISR,5317.684689,2215883.366
Italy,ITA,189386.5468,30075442.78
Jamaica,JAM,5832.938461,1099979.933
Japan,JPN,221004.4768,37240326.66
Jersey,JEY,110.4040032,12512.55196
Jordan,JOR,871.6734439,8911879.301
Kazakhstan,KAZ,71223.5722,273053036.2
Kenya,KEN,117012.5352,58598335.72
Kiribati,KIR,0,689.848505
Kosovo,XKO,9293.195552,1091976.448
Kuwait,KWT,51.43570786,1738893.795
Kyrgyzstan,KGZ,67691.24154,19864898.7
Laos,LAO,101748.4629,23000147.79
Latvia,LVA,290488.6139,6470996.261
Lebanon,LBN,6369.402289,1023803.861
Lesotho,LSO,2973.224912,3054531.163
Liberia,LBR,57761.74346,9591801.583
Libya,LBY,1498.710126,161606184.8
Liechtenstein,LIE,56.40659885,16203.80932
Lithuania,LTU,241547.6885,6501662.939
Luxembourg,LUX,2851.124661,258155.7394
Macao,MAC,6.781502952,3412.786424
Macedonia,MKD,12568.27415,2482514.958
Madagascar,MDG,173321.8987,59144707.33
Malawi,MWI,41602.13902,11802885.39
Malaysia,MYS,1004944.63,32938348.76
Maldives,MDV,31.49006502,27912.71304
Mali,MLI,203580.1422,125119256.2
Malta,MLT,11.26710014,32334.79078
Martinique,MTQ,678.099788,111787.9552
Mauritania,MRT,711.4164965,104117150.6
Mauritius,MUS,0,191366.7645
Mayotte,MYT,249.0905518,39165.17965
Mexico,MEX,1423107.453,195185464.5
Micronesia,FSM,0,10266.94449
Moldova,MDA,36546.3619,3390780.839
Monaco,MCO,0.335677933,235.2974845
Mongolia,MNG,78600.81563,156624744.5
Montenegro,MNE,9784.048704,1333523.259
Montserrat,MSR,249.9012457,10061.82208
Morocco,MAR,81645.78759,41348767.35
Mozambique,MOZ,583188.4615,78729716.65
Myanmar,MMR,636627.0267,66929667.33
Namibia,NAM,15114.36772,82385622.18
Nauru,NRU,0,2215.233526
Nepal,NPL,174007.6475,14766249.54
Netherlands,NLD,60819.45352,3766566.364
New Caledonia,NCL,1854.90601,1882559.407
New Zealand,NZL,434874.5668,26716575.12
Nicaragua,NIC,142444.7311,12821978.48
Niger,NER,5781.694251,118366970.2
Nigeria,NGA,927800.6388,90840998.02
Norfolk Island,NFK,0,4062.598875
North Korea,PRK,288491.6526,12275519.14
